Número de Inscrição,Data de Nascimento,Data de Inscrição,Cidade,Estado,Sexo,Deficiência,Nome,Sobrenome,Escolaridade
f2bf14e6-9ecc-43d1-9098-1a133277d26a,,2022-01-11 16:47:41,da Mota de das Neves,MS,F,Sim,João Miguel,Castro,Ensino Médio
afd1d890-dbfd-4d72-a9a2-4309f356167a,1910-02-05,2022-01-30 13:17:53,Teixeira do Norte,SE,,Não,Maria Sophia,Rezende,Ensino Fundamental
16451a82-28f8-48bf-a5b6-9f0c5b25ef6b,,2022-01-28 12:28:17,,CE,F,Sim,Giovanna,Freitas,Ensino Superior
200731b4-a651-4a2d-9d01-11d4d6a41511,1949-11-21,2022-01-20 02:11:07,Porto,RN,F,Não,João Felipe,Peixoto,Ensino Superior
22369508-74a2-403b-8237-1851971a08d6,1963-06-26,2022-01-23 21:48:36,Pires do Oeste,PA,F,Não,Benjamin,Farias,Ensino Médio
adee66d7-fc60-4b76-b515-39cfb2f9c701,2005-01-13,2022-01-30 08:01:50,Gomes do Norte,ES,F,Não,João Pedro,Correia,Ensino Superior
1d6b237b-44d1-43d8-92c7-0825c3a02805,,2022-01-05 07:21:28,Moreira,TO,F,Não,Anthony,Barros,Ensino Superior
02899759-c6f1-45e3-bbad-6f4354f108f1,1965-08-06,2022-01-10 17:18:25,,RN,M,Não,Vitor,Oliveira,Ensino Médio
0d4e58a7-6876-4950-967b-d353d7f74471,,2022-01-10 09:12:45,Peixoto,PR,F,Sim,Julia,Sales,Ensino Fundamental
b613c99e-113e-4e29-b2ff-c4a760096d6f,1923-04-18,2022-01-11 15:38:31,Freitas,AM,F,Sim,Pedro Lucas,Porto,Ensino Superior
d5853ead-5886-448f-b2fb-e0ac3ee9d4da,1968-05-11,2022-01-16 01:35:17,da Conceição da Prata,MA,M,Sim,Bruno,Cardoso,
26a5f7c3-f7bb-46d9-a9b2-0ca62429c56d,2000-07-09,2022-01-05 07:26:19,,RJ,F,Sim,Bruno,Azevedo,Ensino Superior
f3cae86a-4920-407f-9fcd-7317da8221e2,2016-03-10,2022-01-05 18:28:29,Silva do Galho,SP,F,Não,Alexandre,Souza,
3b49659d-ea37-43fa-a1d7-75786b33ccfe,1967-03-24,2022-01-15 13:39:23,Cardoso dos Dourados,,M,Sim,Francisco,Freitas,Ensino Médio
ce724367-0f16-43ef-baf4-64155dca3a25,1948-06-13,2022-01-27 13:52:07,Cunha,SE,F,Não,Stella,Moura,
391ef7ff-db9a-4669-b1a4-1c83c70c8b61,2020-04-25,2022-01-26 04:50:54,da Rosa,AP,M,Não,Bernardo,da Mata,Ensino Médio
11fb4c71-809a-4327-a3f7-82c15bac0b36,1923-08-12,2022-01-14 07:34:39,Pinto,PB,M,Não,Murilo,Monteiro,Ensino Superior
b6462017-e1a5-4a4b-963b-a26f16c7c91f,1988-10-28,2022-01-23 10:29:35,da Luz da Serra,MG,F,Sim,Luiz Miguel,Silva,Ensino Superior
36754e72-94f6-4bc1-bc92-f2460278bfd3,1929-04-16,2022-01-14 22:49:41,,MT,,Não,Stephany,Ferreira,Ensino Superior
f1112ff7-902f-40a1-ae4b-921ec32f5e68,,2022-01-27 11:40:01,das Neves,TO,M,Não,Rodrigo,das Neves,
17954cc3-454d-42f2-a39d-10600365dc4b,1951-07-24,2022-01-13 18:59:57,Viana Grande,DF,M,,Ana Sophia,Mendes,Ensino Superior
f750d18b-22c8-452a-8a54-b3c0e0dbdd90,2019-12-18,2022-01-22 01:20:12,Castro da Serra,,M,Não,Nina,Azevedo,Ensino Superior
15125837-e882-47a9-b279-0862707d3ec7,1928-02-08,2022-01-27 03:57:59,Santos dos Dourados,BA,M,Sim,João,da Luz,Ensino Superior
06eb17b2-c804-49ad-bfc9-c1070a0dbf19,1984-03-04,2022-01-17 18:58:02,,,M,Não,Pietro,Sales,
c9a14ddb-060c-4bbf-9f82-ca0edb717080,,2022-01-09 06:25:18,Costa de Ribeiro,PI,,Sim,João Felipe,Azevedo,Ensino Médio
24d7c0d3-a1f6-406a-92ae-556cb55b5c3f,,2022-01-29 19:29:26,Ramos Grande,AP,F,Não,Yago,Moraes,Ensino Médio
e2c1defe-a2e3-46c8-b15c-06c0a94394d6,1971-04-10,2022-01-23 15:53:19,,,,Sim,Diego,Costela,Ensino Médio
dbb1164a-716f-46e6-aef1-4b4b1e792327,1925-07-31,2022-01-24 12:56:05,Viana,,,Sim,Enzo Gabriel,Mendes,Ensino Médio
8774d895-7d46-495f-b2f0-c0d84d948ab7,1977-12-08,2022-01-14 04:05:23,Campos,AP,M,Não,Kaique,Rezende,Ensino Fundamental
07044621-ae16-4071-b0bc-179603bd72c7,,2022-01-16 02:03:27,Castro,PI,F,Sim,Gabrielly,da Mota,Ensino Superior
d6a8ad8a-511a-46d7-ab54-e9ee1ce9f845,1941-09-25,2022-01-05 11:45:04,Freitas da Praia,RJ,F,Sim,Isabella,Ramos,Ensino Fundamental
0ae316bb-293a-4020-be7f-d3702a77bb7d,2021-05-28,2022-01-11 14:41:12,Martins,PA,M,Não,Maitê,Barbosa,Ensino Superior
a480907b-b165-4b01-836f-61acc1673a08,1989-12-05,2022-01-11 17:39:40,Cavalcanti,,F,Não,João Guilherme,Duarte,
cb470e08-3eb6-46f4-aba8-afc06a32abeb,1936-07-23,2022-01-08 14:18:39,Silva,PA,,,Matheus,Barbosa,Ensino Superior
b4dcd7a3-0682-4b81-80c0-28b74cf58187,1992-09-11,2022-01-06 17:07:32,da Luz do Oeste,RO,F,Sim,Marcela,Costela,
60453be8-5579-4158-a65a-ae4cff52e33f,1977-08-07,2022-01-21 19:56:41,Novaes,AL,M,Sim,Davi Lucas,Viana,
771d2fbd-6774-4d4c-b8bb-25edbebd6b3b,1964-06-25,2022-01-11 06:55:40,Freitas de Goiás,,M,Sim,Noah,Pereira,Ensino Fundamental
5486cde3-1831-46d4-b3f3-a7a58ee9e21a,1953-09-15,2022-01-13 17:44:10,,AL,M,Sim,Kevin,da Luz,Ensino Fundamental
7dc6e922-ed4a-47fe-b95f-34d604e70b71,1950-06-18,2022-01-22 23:04:21,da Paz das Flores,,M,Não,Joaquim,Almeida,Ensino Superior
